id,rotulo,texto
53,FALSO,a bunch of different types of fruit on a table . a bunch of different kinds of fruit on a table . a bunch of different types of fruit sitting on a table .
1136,VERDADE,a bunch of items that are on a table . a bunch of items that are on a counter . a bunch of items that are sitting on a table .
695,FALSO,a birthday cake with a train on it a birthday cake with a train on it . a cake shaped like a train with a train on it .
3312,VERDADE,a white dog laying on top of a bed . a white dog laying on top of a white blanket . a white dog laying on top of a blue blanket .
1314,VERDADE,a close up of a cake with a train on it a close up of a chocolate cake with white frosting a close up of a cake with a train on top
3712,VERDADE,a man and a woman sitting on a couch . a group of people sitting on a couch playing a video game . a group of people sitting on a couch playing a game .
241,FALSO,a woman is holding a cell phone to her ear . a woman is holding a cell phone in her hand . a woman is holding a cell phone up to her ear .
3352,VERDADE,a man is holding a sign in front of a stop sign . a man is holding a sign in front of a sign . a man is holding a sign with a sign on it .
3618,VERDADE,a view of a bridge over a river . a view of a bridge with a train going down the tracks . a view of a bridge with a train going through it .
2603,VERDADE,a man sitting at a table with a plate of food . a man sitting at a table with a cup of coffee . a man sitting at a table with a plate of food
201,VERDADE,a polar bear in the snow on a sunny day . a polar bear standing in the snow near a tree . a polar bear in the snow on a snowy day .
3603,VERDADE,a woman standing in front of a display case . a woman standing in front of a display of food . a woman standing in front of a display of food
2617,VERDADE,a man and a woman are playing a video game . a man and a woman standing in a living room . a man and a woman are playing a video game
1535,VERDADE,a man is cutting a piece of food . a man holding a knife over a piece of meat . a man is cutting a piece of paper with scissors .
541,FALSO,a close up of a pair of scissors a close up of a pair of scissors on a table a pair of scissors sitting on top of a table .
2661,FALSO,a sign that says `` <UNK> '' on a wall . a sign that says `` <UNK> '' on it 's side . a wall with a sign that reads `` <UNK> '' .
3182,VERDADE,a close up of a street sign with a sky background a close up of a stop sign with a sky background a close up of a sign with a sky background
208,VERDADE,a man holding a cell phone up to his ear . a man holding a cell phone in his hand . a man is holding a cell phone in his hand .
1799,VERDADE,a red stop sign sitting on the side of a road . a stop sign with a sticker on it a stop sign with a sticker on it .
1089,VERDADE,a group of people standing next to each other . a group of people standing next to a fire hydrant . a group of people standing next to each other on a field .
2832,VERDADE,a close up of a person holding a cell phone a close up of a person holding a pair of scissors a close up of a red and white clock
2936,VERDADE,a man riding a wave on top of a surfboard . a person riding a surf board on a wave a person on a surfboard riding a wave .
1294,VERDADE,a large group of people on a city street . a group of people standing on top of a beach . a large group of people on a beach .
3873,VERDADE,a man sitting on a bench next to a woman . a man sitting on a bench next to a dog . a man sitting on a bench next to a dog
767,VERDADE,a group of people standing next to each other . a group of people standing next to each other in a room . a group of people standing next to each other on a stage .
1705,VERDADE,a woman wearing a tie and a hat . a young girl wearing a tie and a hat . a little girl wearing a tie and a hat .
2197,VERDADE,a group of people standing next to each other . a group of people standing in a room . a group of people standing next to each other in a room .
2300,VERDADE,a group of people standing in front of a building . a group of people standing outside of a building . a group of people standing in front of a tall building .
1363,VERDADE,a little girl sitting on top of a suitcase . a little girl sitting on top of a laptop computer . a little girl sitting in a chair with a laptop .
2252,VERDADE,a group of people standing next to each other . a group of people standing around each other . a group of people standing next to each other on a street .
