id,texto,rotulo
626,Santa Catarina Tem hoje a menor taxa de assassinatos. Um homem está segurando um celular perto do ouvido. Um homem está segurando um celular até o ouvido. Um homem está segurando um celular na mão.,FALSO
972,TSE entregou códigos de segurança das urnas eletrônicas para a Venezuela e negou acesso para auditores brasileiros. Um homem de terno e gravata segurando um microfone. Um homem de terno e gravata de pé na frente de um microfone. Um homem de terno e gravata está sorrindo.,FALSO
42,Portal Transparência mostra que gestão Bolsonaro tem o maior orçamento para educação da história. um grupo de crianças pequenas em pé ao lado uma da outra. um grupo de jovens parados lado a lado. um grupo de crianças pequenas posando para uma foto.,FALSO
1043,Bebê nasce com 18 kg e bate o recorde de maior bebê do mundo. Um homem e uma mulher deitados em uma cama. Um homem e uma mulher sentados em uma cama. Um homem e uma mulher deitados em uma cama.,FALSO
831,"O presidente eleito [Bolsonaro] e seu filho [Eduardo] votaram conta a Lei Brasileira de Inclusão LBI. Um homem de terno e gravata segurando um microfone. um homem de terno e gravata segurando um microfone, um homem de terno e gravata está segurando um microfone.",FALSO
261,"Vivemos numa época onde querem que os padres se casem e que os casados se divorciem. Querem que os héteros tenham relacionamentos líquidos sem compromisso, mas que os gays se casem na Igreja.... Um homem de terno e gravata está sorrindo. Um homem de terno e gravata sorri, um homem de terno e gravata segurando um celular.",FALSO
928,"... E agora [Sergio Moro] aceita ser ministro, junto com ele [Fraga], no governo do Bozo sic imagem. um homem de camisa branca está segurando um celular, um homem de camisa branca e uma gravata preta, um homem de camisa branca e gravata preta.",FALSO
38,Bolsonaro autoriza Execução da dívida da Globo de mais de R$ 1 Bilhão de impostos sonegados. um grupo de pessoas de pé no topo de uma praia. um grupo de pessoas de pé no topo de uma praia arenosa. um grupo de pessoas de pé lado a lado.,FALSO
182,"Por falta de público, Posse simbólica de Lula é cancelada em Curitiba. Um homem está falando em seu telefone celular. um homem está falando em um telefone celular fora de um homem está falando em um telefone celular lá fora.",FALSO
1143,"Para o ministro [Luís Roberto Barroso], Bolsonaro foi corajoso e demonstrou ser um grande líder, pois não abandona sua nação nem em momentos difíceis como o que estamos passando agora, com a pandemia do COVID-19.. Um homem segurando uma raquete de tênis nas mãos. Um homem segurando uma raquete de tênis na mão direita. Um homem segurando uma raquete de tênis na mão.",FALSO
1013,Trump avisa: posso intervir militarmente no Brasil para acabar com a corrupção. Um homem de terno e gravata parado ao lado de outro homem. Um homem de terno e gravata de pé ao lado de uma mulher. Um homem de terno e gravata segurando um microfone.,FALSO
310,"Cai a hipócrita: Odebrecht delata Marina Silva: mais de R$ 1 milhão. Um homem de terno e gravata segurando um microfone. um homem de terno e gravata segurando um microfone, um homem de terno e gravata de pé na frente de um microfone.",FALSO
1046,Primeiras fotos da Terra enviadas pela missão espacial Chadrayan2 da India. a close up of a small plane on a runway a close up of a small plane on a run way a close up of a small plane on a city street.,FALSO
722,"O Exército Brasileiro conseguiu, ontem, encontrar água ao perfurar um poço em Caicó, no Nordeste. um homem parado ao lado de uma estrada perto de um hidrante. um homem parado no acostamento com um hidrante. um homem parado na beira da estrada com um hidrante.",FALSO
106,"O Exército Brasileiro conseguiu, ontem, encontrar água ao perfurar um poço em Caicó, no nordeste. A água jorrou com força e foi encontrada em um terreno onde atualmente funciona um complexo de creches cujo abastecimento hídrico é feito por caminhão pipa.. Um homem montando uma onda em cima de uma prancha de surfe. um homem montando uma prancha de surfe no topo de uma onda. um homem montando uma prancha de surfe no topo de um rio.",FALSO
556,Reforma: Homem - 65 [anos de idade mínima para se aposentar]. Mulheres - 62. Parlamentar - 8 [anos de contribuição para se aposentar]. um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé ao lado uma da outra em uma sala. um grupo de pessoas paradas lado a lado na frente de uma tv.,FALSO
974,Por coincidência [Guiné Equatorial] é o país que o Lula perdoou uma dívida bilionária e teve várias obras bilionárias feitas com dinheiro do BNDES. um homem sentado a uma mesa com um laptop. um homem sentado à mesa em frente a um laptop. um homem sentado a uma mesa com uma caixa de rosquinhas.,FALSO
74,"Aos mal informados, isto é uma mostra de uma pequena quantidade de pinos de crack e cocaína recolhidos na área da Universidade Federal do Espírito Santo. Será que alguém ainda acha que as atitudes do governo são um &#39;equívoco&#39;. Um homem está segurando um monte de bananas. um homem está segurando um monte de bananas um homem segurando um monte de bananas maduras.",FALSO
157,"Não serão punidos, infelizmente, graças ao decreto assinado em 2015 por Dilma Rousseff que considera rompimento de barragens, desastres NATURAIS.. a close up of a statue of an elephant a close up of a statue of a cow a close up of a statue of a elephant.",FALSO
301,"PT defende estatização da Canção Nova, TV Aparecida e outras emissoras religiosas. um close de uma caixa de rosquinhas perto de uma caixa de rosquinhas com bolo em cima com um trem.",FALSO
570,O cara que chamou Moro de ladrão [Glauber Braga] sem provas [no vídeo abaixo]. Um homem de terno e gravata posando para uma foto. um homem de terno e gravata posando para uma foto um homem de terno e gravata posando para uma foto.,FALSO
63,Charge publicada na revista americana Time. E de longe a melhor expressão que já vi sobre a nossa situação atual. Parabéns ao criador.. um grupo de pessoas de pé lado a lado. um grupo de pessoas de pé ao lado uma da outra em uma mesa. um grupo de pessoas de pé lado a lado em uma rua.,FALSO
1679,Nelson Teich está auditando todos os números divulgados pelos Estados sobre o Covid-19. Um par de homens de pé perto um do outro. Um par de homens de pé ao lado um do outro em uma sala. Um homem de terno e gravata de pé ao lado de uma mulher.,FALSO
634,Bolsonaro assina decreto que proíbe o consumo de drogas em universidades e choca alunos. Um grupo de pessoas sentadas em torno de uma sala de estar. um grupo de pessoas sentadas ao redor de uma sala de estar juntas. um grupo de pessoas sentadas ao redor de uma sala de estar juntas.,FALSO
609,Transparência mostra que Bolsonaro é responsável pelo maior orçamento da Educação na história. um grupo de crianças pequenas em pé ao lado uma da outra. um grupo de crianças estão posando para uma foto. um grupo de crianças posam para uma foto juntos.,FALSO
80,"Na Alemanha o governo subiu preço de combustível. Em apenas uma hora de tempo as pessoas abandonaram seus carros nas ruas e avenidas e foram a pé para casa. Mais de um milhão de carros abandonados. Tiveram que baixar o preço. Quando o povo é inteligente, . Um grupo de pessoas parado em torno de um estacionamento. Um grupo de pessoas andando por uma rua ao lado de carros. Um grupo de pessoas andando por uma rua perto de prédios altos.",FALSO
94,Idade mínima para aposentadoria no Brasil. Homens: 65 anos. Mulheres: 62 anos. Políticos: 8 anos.. um close-up de uma tv com um relógio a close-up de uma tv com um relógio sobre ele um close de uma tela de televisão com um relógio.,FALSO
875,"Segundo o embaixador da China no Brasil, Li Jinzhang, quem invadiu área de pesca Chinesa foi o barco brasileiro Oceano Pesca I. Um barco está atracado na água perto do cais. um barco está atracado na água perto de uma cidade. Um barco está atracado na água perto do píer.",FALSO
993,"PF conclui inquérito sobre triplex de Guarujá, inocenta Lula e indicia a dona. Um grande prédio com um relógio na frente. um prédio alto com um relógio em cima um grande edifício com um relógio na frente.",FALSO
103,"Engraçado, depois que foi descoberto que o assassino de Marielle era do PT, finalmente ela morreu Ninguém fala mais nada. a close-up de uma placa de parar com adesivos em um close-up de uma placa de parar com um adesivo em cima, um close de um sinal de parar com adesivos.",FALSO
83,"Papa Francisco cancela a Bíblia e propõe criar um novo livro.. Um homem de terno e gravata segurando um celular. um homem de terno e gravata está sorrindo, um homem de terno e gravata olhando para seu celular.",FALSO
1104,"Não caiam na nova jogada suja da esquerda. Pegaram um vídeo antigo no YouTube do então Deputado federal BOLSONARO, onde ele pede para que a população compareça às manifestações do dia 15 de março. Só que essas manifestações eram sobre o impeachment da Dil. Um sinal de parada vermelha sentado no lado de uma estrada. Um sinal de parada vermelha sentado em cima de um poste de metal. Uma placa vermelha de parada sentada no lado de uma rua.",FALSO
2072,Bolsonaro teve 57 milhões de votos. Para receber os 600 reais [do auxílio emergencial] teve 170 milhões inscritos. Não é fofa a resistência. Um sinal de parada com um sinal nela. um sinal de parada com um cartaz escrito com um aviso dizendo Faça a busca do UNK '' em um sinal de rua.,FALSO
1210,"[A Holanda] já passou do pico da epidemia e está indo para o fim da epidemia. uma colagem de fotos de um computador e um teclado, uma colagem de fotos com um relógio e um livro, uma colagem de fotos de um computador e um teclado.",FALSO
583,Adivinha quem estava com o presidente miliciano na fatídica Marcha para Jesus Ele mesmo! Sargento traficante miliciano do PSL! Veja a foto.. um grupo de pessoas de pé lado a lado. um grupo de homens de pé ao lado um do outro. um grupo de pessoas de pé lado a lado em um campo.,FALSO
49,"Resumo das manifestações de hoje: 1% educação, 4% maconha, 5% Não sabem porque estão ali, 90% Lula livre.. a picture of a sign that says & UNK> ''. a picture of a sign that says & UNK> '' a picture of a sign that says `UNK & UNK> ''.",FALSO
1180,A Rússia soltou mais de 500 leões nas ruas para garantir que as pessoas fiquem em ambientes fechados durante este surto de pandemia. Um cavalo andando pela rua ao lado de um carro. um cavalo andando pela rua na frente de um carro. um cavalo andando pela rua na frente de um carro.,FALSO
131,"Adivinha quem é a mãe dessa pobre moça drogada e perdida Pasmem, mas essa moça é filha da deputada Maria do Rosário, a defensora de bandidos que, segundo ela, são pobres vítimas da sociedade. Pois foram essas pobres vítimas da sociedade que transformaram . uma mulher sentada em um banco com as pernas cruzadas. uma mulher sentada em um banco com um telefone celular. uma mulher sentada em um banco com os pés para cima.",FALSO
