id,rotulo,texto
1,FALSO,a woman in a white dress and a white dress a woman in a white dress and a white dress . a woman in a white dress and a man in a dress .
2,FALSO,a close up of a pair of scissors a close up of a pair of scissors on a table a pair of scissors sitting on top of a piece of paper .
3,VERDADE,a group of people sitting around a table eating food . a group of people sitting around a table eating pizza . a group of people sitting around a table with food .
4,VERDADE,a man wearing a tie and a white shirt . a man wearing a tie and a hat . a man wearing a tie and a shirt .
5,VERDADE,a person laying on a bed with a blanket . a woman laying on a bed with a blanket . a person laying on a bed with a blanket
6,VERDADE,a couple of men standing next to each other . a couple of men standing next to each other in a room . a couple of men standing next to each other in front of a building .
7,VERDADE,a view of a mountain range from below . a view of a mountain range from a plane . a view of a mountain range from a plane window .
8,VERDADE,a man in a suit and tie standing in a room . a man in a suit and tie holding a microphone . a man in a suit and tie standing in front of a microphone .
9,FALSO,a couple of sheep standing next to each other . two sheep standing next to each other in a field . a couple of sheep standing next to each other on a field .
10,VERDADE,a person on a snowboard jumping in the air . a person on a snow board in the air . a person on a snow board in the snow .
11,FALSO,a man in a suit and tie holding a teddy bear . a man in a suit and tie holding a teddy bear a man in a suit and tie is holding a teddy bear .
12,VERDADE,a person holding a cell phone in their hand . a person holding a cell phone in their hands . a person holding a cell phone in their hand
13,VERDADE,a bouquet of flowers in a vase on a table . a vase of flowers sitting on a table . a bouquet of flowers in a vase on a table
14,VERDADE,a close up of a pair of scissors a close up of a pair of scissors on a table a close up of a pair of scissors on a white surface
15,FALSO,a close up of a tooth brush on a sink a close up of a person holding a toothbrush a close up of a tooth brush on a toilet
16,VERDADE,a woman holding a tennis racquet on a tennis court . a woman is holding a tennis racket on a court a woman holding a tennis racquet on a court .
17,FALSO,a couple of women standing next to each other . a woman and a man standing next to each other . a couple of women standing next to each other holding racquets .
18,VERDADE,a man standing in front of an open refrigerator . a man standing next to a woman in a kitchen . a man standing next to a woman in front of a store .
19,VERDADE,a baseball player holding a bat on top of a field . a baseball player holding a bat on a field . a baseball player holding a baseball bat on a field .
20,FALSO,a group of men standing next to each other . a group of people standing next to each other . a group of men standing next to each other on a street .
